id,year,state_name,state_code,district_name,district_code,rural_urban,level,gender,age,social_group,literacy,working_status,worker_type,occupation,population
2423,2011,Bihar,10,Supaul,223,Rural,Village,Male,nan,General,nan,nan,nan,nan,917410
2424,2011,Bihar,10,Supaul,223,Rural,Village,Female,nan,nan,Total,nan,nan,nan,1024023
2425,2011,Bihar,10,Supaul,223,Rural,Village,Male,nan,nan,Illiterate,nan,nan,nan,489507
2426,2011,Bihar,10,Supaul,223,Rural,Village,Total,nan,nan,nan,Worker,Marg_3_6_,Household_Industry_Worker,8592
2427,2011,Bihar,10,Supaul,223,Rural,Village,Male,nan,nan,Total,nan,nan,nan,1099495
2428,2011,Bihar,10,Supaul,223,Rural,Village,Total,nan,nan,nan,Worker,Total,Agricultural_Labourers,547263
2527,2011,Bihar,10,Muzaffarpur,208,Rural,Village,Total,nan,Sc,nan,nan,nan,nan,708488
2429,2011,Bihar,10,Supaul,223,Rural,Village,Male,nan,nan,nan,Worker,Marg_3_6_,Total,162262
2430,2011,Bihar,10,Supaul,223,Rural,Village,Male,0_To_6_Years,nan,nan,nan,nan,nan,215813
2431,2011,Bihar,10,Supaul,223,Rural,Village,Male,nan,Sc,nan,nan,nan,nan,176922
2432,2011,Bihar,10,Supaul,223,Rural,Village,Total,nan,nan,Literate,nan,nan,nan,969344
2433,2011,Bihar,10,Supaul,223,Rural,Village,Male,nan,nan,nan,Worker,Total,Other,57057
2434,2011,Bihar,10,Supaul,223,Rural,Village,Total,nan,nan,nan,Worker,Marg_0_3_,Other,4503
2435,2011,Bihar,10,Araria,188,Rural,Village,Female,nan,nan,nan,Worker,Marg_3_6_,Agricultural_Labourers,117881
2436,2011,Bihar,10,Araria,188,Rural,Village,Female,nan,nan,nan,Worker,Marg_0_3_,Total,42467
2437,2011,Bihar,10,Araria,188,Rural,Village,Total,nan,Sc,nan,nan,nan,nan,366088
2438,2011,Bihar,10,Araria,188,Rural,Village,Female,nan,Sc,nan,nan,nan,nan,176523
2439,2011,Bihar,10,Araria,188,Rural,Village,Total,nan,St,nan,nan,nan,nan,38337
2440,2011,Bihar,10,Araria,188,Rural,Village,Male,nan,nan,nan,Worker,Main,Other,53063
2441,2011,Bihar,10,Araria,188,Rural,Village,Male,nan,nan,nan,Worker,Marg_0_3_,Household_Industry_Worker,810
2442,2011,Bihar,10,Araria,188,Rural,Village,Total,nan,nan,nan,Non_Worker,nan,nan,1624582
2443,2011,Bihar,10,Araria,188,Rural,Village,Female,nan,General,nan,nan,nan,nan,1073287
2444,2011,Bihar,10,Kishanganj,203,Rural,Village,Male,nan,nan,nan,Worker,Total,Total,379931
2445,2011,Bihar,10,Kishanganj,203,Rural,Village,Male,nan,nan,nan,Worker,Marg_0_3_,Cultivator,1520
2446,2011,Bihar,10,Kishanganj,203,Rural,Village,Total,nan,nan,Total,nan,nan,nan,1529277
2447,2011,Bihar,10,Kishanganj,203,Rural,Village,Male,nan,nan,nan,Worker,Main,Total,298650
2448,2011,Bihar,10,Kishanganj,203,Rural,Village,Female,nan,nan,nan,Worker,Total,Total,97979
2449,2011,Bihar,10,Kishanganj,203,Rural,Village,Female,nan,nan,nan,Worker,Main,Total,43665
2450,2011,Bihar,10,Kishanganj,203,Rural,Village,Male,nan,St,nan,nan,nan,nan,30877
2451,2011,Bihar,10,Kishanganj,203,Rural,Village,Total,nan,nan,nan,Worker,Main,Household_Industry_Worker,4574
2452,2011,Bihar,10,Kishanganj,203,Rural,Village,Total,nan,General,nan,nan,nan,nan,1372539
2453,2011,Bihar,10,Kishanganj,203,Rural,Village,Male,nan,nan,nan,Non_Worker,nan,nan,403387
2454,2011,Bihar,10,Kishanganj,203,Rural,Village,Total,0_To_6_Years,nan,nan,nan,nan,nan,320066
2455,2011,Bihar,10,Kishanganj,203,Rural,Village,Total,nan,nan,nan,Worker,Total,Other,51847
2456,2011,Bihar,10,Purnia,214,Rural,Village,Total,nan,nan,nan,Worker,Total,Total,1043210
2457,2011,Bihar,10,Purnia,214,Rural,Village,Female,0_To_6_Years,nan,nan,nan,nan,nan,294494
2458,2011,Bihar,10,Purnia,214,Rural,Village,Total,nan,nan,nan,Worker,Marg_0_3_,Household_Industry_Worker,3181
2459,2011,Bihar,10,Purnia,214,Rural,Village,Male,nan,nan,nan,Worker,Marg_3_6_,Cultivator,16768
2460,2011,Bihar,10,Purnia,214,Rural,Village,Total,nan,St,nan,nan,nan,nan,121532
2461,2011,Bihar,10,Purnia,214,Rural,Village,Female,nan,nan,nan,Worker,Marg_3_6_,Total,123635
2462,2011,Bihar,10,Purnia,214,Rural,Village,Male,nan,nan,nan,Worker,Total,Total,721595
2463,2011,Bihar,10,Purnia,214,Rural,Village,Female,nan,nan,nan,Worker,Marg_0_3_,Household_Industry_Worker,2237
2464,2011,Bihar,10,Katihar,201,Rural,Village,Total,nan,General,nan,nan,nan,nan,2391778
2465,2011,Bihar,10,Katihar,201,Rural,Village,Total,nan,nan,nan,Worker,Total,Other,93632
2466,2011,Bihar,10,Katihar,201,Rural,Village,Male,nan,St,nan,nan,nan,nan,89095
2467,2011,Bihar,10,Katihar,201,Rural,Village,Male,nan,nan,nan,Worker,Main,Total,500201
2468,2011,Bihar,10,Katihar,201,Rural,Village,Male,nan,nan,nan,Worker,Marg_3_6_,Cultivator,15794
2469,2011,Bihar,10,Katihar,201,Rural,Village,Male,nan,General,nan,nan,nan,nan,1246911
2470,2011,Bihar,10,Katihar,201,Rural,Village,Male,nan,nan,nan,Worker,Total,Other,70521
2471,2011,Bihar,10,Katihar,201,Rural,Village,Total,nan,Total,nan,nan,nan,nan,2797207
2472,2011,Bihar,10,Katihar,201,Rural,Village,Female,nan,nan,Illiterate,nan,nan,nan,901790
2473,2011,Bihar,10,Katihar,201,Rural,Village,Total,0_To_6_Years,nan,nan,nan,nan,nan,580024
2474,2011,Bihar,10,Katihar,201,Rural,Village,Female,nan,nan,nan,Worker,Marg_3_6_,Total,104115
2475,2011,Bihar,10,Katihar,201,Rural,Village,Female,nan,nan,nan,Worker,Total,Agricultural_Labourers,185675
2476,2011,Bihar,10,Katihar,201,Rural,Village,Male,nan,Sc,nan,nan,nan,nan,119738
2477,2011,Bihar,10,Madhepura,205,Rural,Village,Female,nan,nan,nan,Worker,Total,Agricultural_Labourers,198560
2478,2011,Bihar,10,Madhepura,205,Rural,Village,Male,nan,nan,nan,Worker,Main,Other,35646
2479,2011,Bihar,10,Madhepura,205,Rural,Village,Total,nan,nan,nan,Worker,Marg_3_6_,Other,19214
2480,2011,Bihar,10,Madhepura,205,Rural,Village,Male,nan,nan,nan,Non_Worker,nan,nan,525621
2481,2011,Bihar,10,Madhepura,205,Rural,Village,Total,nan,nan,nan,Worker,Main,Other,45948
2482,2011,Bihar,10,Madhepura,205,Rural,Village,Male,nan,St,nan,nan,nan,nan,6269
2483,2011,Bihar,10,Madhepura,205,Rural,Village,Total,nan,nan,nan,Worker,Total,Total,751072
2484,2011,Bihar,10,Madhepura,205,Rural,Village,Total,nan,nan,Literate,nan,nan,nan,780081
2485,2011,Bihar,10,Madhepura,205,Rural,Village,Female,0_To_6_Years,nan,nan,nan,nan,nan,188063
2486,2011,Bihar,10,Madhepura,205,Rural,Village,Female,nan,nan,Illiterate,nan,nan,nan,618667
2487,2011,Bihar,10,Madhepura,205,Rural,Village,Male,nan,nan,nan,Worker,Marg_3_6_,Household_Industry_Worker,2452
2488,2011,Bihar,10,Saharsa,216,Rural,Village,Female,nan,nan,nan,Worker,Marg_3_6_,Other,6023
2489,2011,Bihar,10,Saharsa,216,Rural,Village,Male,nan,nan,nan,Worker,Total,Agricultural_Labourers,222941
2490,2011,Bihar,10,Saharsa,216,Rural,Village,Total,nan,nan,nan,Worker,Main,Agricultural_Labourers,151803
2491,2011,Bihar,10,Saharsa,216,Rural,Village,Female,nan,nan,nan,Worker,Main,Household_Industry_Worker,2636
2492,2011,Bihar,10,Saharsa,216,Rural,Village,Female,nan,nan,nan,Worker,Total,Agricultural_Labourers,126781
2493,2011,Bihar,10,Saharsa,216,Rural,Village,Female,nan,St,nan,nan,nan,nan,2713
2494,2011,Bihar,10,Saharsa,216,Rural,Village,Male,nan,Total,nan,nan,nan,nan,913883
2495,2011,Bihar,10,Saharsa,216,Rural,Village,Total,nan,nan,nan,Non_Worker,nan,nan,1136024
2496,2011,Bihar,10,Saharsa,216,Rural,Village,Male,nan,nan,nan,Worker,Marg_0_3_,Total,20432
2497,2011,Bihar,10,Saharsa,216,Rural,Village,Total,nan,nan,nan,Worker,Total,Other,78745
2498,2011,Bihar,10,Saharsa,216,Rural,Village,Male,nan,nan,nan,Non_Worker,nan,nan,492889
2499,2011,Bihar,10,Darbhanga,195,Rural,Village,Male,nan,nan,nan,Worker,Marg_0_3_,Household_Industry_Worker,1888
2500,2011,Bihar,10,Darbhanga,195,Rural,Village,Male,nan,nan,nan,Worker,Total,Household_Industry_Worker,22651
2501,2011,Bihar,10,Darbhanga,195,Rural,Village,Female,nan,nan,nan,Worker,Total,Agricultural_Labourers,167264
2502,2011,Bihar,10,Darbhanga,195,Rural,Village,Female,nan,nan,nan,Worker,Marg_3_6_,Total,120669
2503,2011,Bihar,10,Darbhanga,195,Rural,Village,Total,nan,nan,nan,Worker,Main,Household_Industry_Worker,20256
2504,2011,Bihar,10,Darbhanga,195,Rural,Village,Total,nan,nan,nan,Worker,Total,Other,217835
2505,2011,Bihar,10,Darbhanga,195,Rural,Village,Female,nan,nan,nan,Worker,Marg_0_3_,Agricultural_Labourers,27024
2506,2011,Bihar,10,Vaishali,224,Rural,Village,Female,nan,nan,nan,Worker,Total,Other,39835
2507,2011,Bihar,10,Vaishali,224,Rural,Village,Total,nan,nan,nan,Worker,Marg_3_6_,Total,284205
2508,2011,Bihar,10,Vaishali,224,Rural,Village,Total,nan,nan,nan,Worker,Marg_0_3_,Other,7606
2509,2011,Bihar,10,Vaishali,224,Rural,Village,Female,nan,nan,nan,Worker,Marg_3_6_,Total,85648
2510,2011,Bihar,10,Vaishali,224,Rural,Village,Male,nan,nan,Literate,nan,nan,nan,1074923
2511,2011,Bihar,10,Vaishali,224,Rural,Village,Female,nan,nan,Illiterate,nan,nan,nan,835796
2512,2011,Bihar,10,Vaishali,224,Rural,Village,Male,nan,nan,nan,Worker,Marg_3_6_,Household_Industry_Worker,5751
2513,2011,Bihar,10,Vaishali,224,Rural,Village,Total,nan,nan,nan,Total,nan,nan,3284345
2514,2011,Bihar,10,Vaishali,224,Rural,Village,Male,nan,nan,nan,Worker,Total,Total,808683
2515,2011,Bihar,10,Vaishali,224,Rural,Village,Male,nan,nan,nan,Worker,Main,Household_Industry_Worker,13919
2516,2011,Bihar,10,Muzaffarpur,208,Rural,Village,Total,nan,nan,nan,Worker,Main,Cultivator,195478
2517,2011,Bihar,10,Muzaffarpur,208,Rural,Village,Female,nan,nan,Illiterate,nan,nan,nan,1174396
2518,2011,Bihar,10,Muzaffarpur,208,Rural,Village,Female,nan,nan,nan,Worker,Marg_0_3_,Other,4501
2519,2011,Bihar,10,Muzaffarpur,208,Rural,Village,Total,nan,nan,nan,Worker,Marg_3_6_,Agricultural_Labourers,326290
2520,2011,Bihar,10,Muzaffarpur,208,Rural,Village,Male,nan,nan,nan,Worker,Main,Household_Industry_Worker,17985
2521,2011,Bihar,10,Muzaffarpur,208,Rural,Village,Male,nan,nan,nan,Worker,Marg_3_6_,Cultivator,44509
2522,2011,Bihar,10,Muzaffarpur,208,Rural,Village,Total,nan,nan,nan,Worker,Marg_3_6_,Cultivator,61055
2523,2011,Bihar,10,Muzaffarpur,208,Rural,Village,Male,nan,nan,nan,Worker,Marg_0_3_,Total,63944
2524,2011,Bihar,10,Muzaffarpur,208,Rural,Village,Total,nan,nan,nan,Worker,Total,Total,1404427
2525,2011,Bihar,10,Muzaffarpur,208,Rural,Village,Total,nan,Total,nan,nan,nan,nan,4327625
2526,2011,Bihar,10,Muzaffarpur,208,Rural,Village,Female,nan,nan,nan,Worker,Total,Cultivator,43873
2528,2011,Bihar,10,Gopalganj,197,Rural,Village,Total,nan,nan,nan,Worker,Total,Cultivator,204210
2529,2011,Bihar,10,Gopalganj,197,Rural,Village,Male,nan,nan,nan,Worker,Total,Cultivator,162413
2530,2011,Bihar,10,Gopalganj,197,Rural,Village,Male,nan,nan,nan,Worker,Marg_3_6_,Cultivator,35642
2531,2011,Bihar,10,Gopalganj,197,Rural,Village,Total,nan,General,nan,nan,nan,nan,2035444
2532,2011,Bihar,10,Gopalganj,197,Rural,Village,Female,nan,nan,nan,Worker,Marg_3_6_,Household_Industry_Worker,3287
2533,2011,Bihar,10,Gopalganj,197,Rural,Village,Female,nan,nan,Illiterate,nan,nan,nan,670455
2534,2011,Bihar,10,Gopalganj,197,Rural,Village,Male,nan,nan,nan,Worker,Main,Cultivator,116445
2535,2011,Bihar,10,Gopalganj,197,Rural,Village,Female,nan,St,nan,nan,nan,nan,30301
2536,2011,Bihar,10,Gopalganj,197,Rural,Village,Total,nan,nan,nan,Worker,Marg_0_3_,Other,8064
